stop_id,route_type_id
638164,0
506365,0
640140,0
244134,0
5846,0
225192,0
337335,0
45408,0
208492,0
661765,0
119965,0
355494,0
351248,0
554685,0
57361,0
329500,0
34728,0
614655,0
447325,0
205854,0
185907,0
87942,0
72958,0
631667,0
310426,0
103177,0
219056,0
319273,0
98595,0
681048,0
51125,0
395855,0
488849,0
510324,0
24983,0
438208,0
387536,0
524337,0
76211,0
233860,0
40756,0
220630,0
312846,0
527761,0
121301,0
74797,0
439536,0
337609,0
506932,0
150813,0
480927,0
34556,0
610036,0
409623,0
318473,0
375370,0
461624,0
9103,0
682645,0
9223,0
95948,0
237076,0
493112,0
401931,0
29489,0
193172,0
577646,0
72735,0
509078,0
205999,0
645963,0
113936,0
441519,0
73114,0
569541,0
364071,0
366845,0
316286,0
111692,0
633894,0
353916,0
78635,0
679497,0
171533,0
460904,0
263733,0
108618,0
201028,0
36568,0
554225,0
605744,0
671239,0
547476,0
89998,0
349666,0
23979,0
539312,0
555191,0
612165,0
167110,0
327925,0
434704,0
77113,0
422336,0
98137,0
621852,0
227386,0
313368,0
330509,0
346097,0
12198,0
17225,0
643156,0
557053,0
418313,0
578818,0
528459,0
61459,0
110484,0
545420,0
406208,0
35541,0
468469,0
381021,0
108172,0
432836,0
78772,0
219843,0
335563,0
107138,0
308979,0
34470,0
101169,0
397111,0
165646,0
485490,0
557553,0
87632,0
19448,0
151783,0
326035,0
478497,0
334647,0
323171,0
75209,0
159512,0
131726,0
192158,0
272329,0
485698,0
587162,0
639357,0
54248,0
418439,0
336129,0
519091,0
403910,0
331678,0
154833,0
227337,0
572989,0
84940,0
388411,0
324800,0
342455,0
642790,0
529694,0
467938,0
533844,0
558588,0
251871,0
404737,0
116623,0
124404,0
391897,0
641143,0
654521,0
208009,0
361245,0
413355,0
130524,0
177927,0
380478,0
88920,0
107594,0
161844,0
200815,0
243932,0
125072,0
579322,0
650730,0
303547,0
306256,0
409868,0
171068,0
206752,0
454120,0
632357,0
251565,0
664265,0
144815,0
320586,0
91246,0
278185,0
58426,0
162122,0
300343,0
610462,0
651182,0
106429,0
590224,0
94306,0
67357,0
144688,0
461159,0
473789,0
386310,0
93679,0
162673,0
577187,0
493036,0
13916,0
584479,0
630256,0
410110,0
83763,0
79831,0
396482,0
167612,0
171774,0
196293,0
482146,0
645757,0
613768,0
80739,0
372756,0
430247,0
454499,0
653614,0
66362,0
359821,0
206445,0
458877,0
422236,0
98485,0
543880,0
368365,0
322427,0
320579,0
273984,0
393651,0
191601,0
132560,0
578087,0
136794,0
362386,0
195727,0
56024,0
384131,0
346891,0
6427,0
187494,0
481586,0
435099,0
175066,0
210836,0
312300,0
525251,0
